ID,Supplier name,Document Date,Document Type,Total with Tax,Currency of Document,Paid,Entry Code
1059553,"ארגוקום בע""מ",05/07/2018,INVOICE,4493,ILS,Unknown,"חס - מע""מ מלא - תשומות ציוד"
1059554,"ארגוקום בע""מ",01/07/2018,INVOICE,9477,ILS,Unknown,"חס - מע""מ מלא - תשומות ציוד"
1059556,עיריית תל אביב יפו,08/07/2018,INVOICE,5858.22,ILS,Paid,"מע""מ 0%"
1059562,גיל חיים,31/07/2018,INVOICE,194,ILS,Unknown,"חס - מע""מ מלא"
1059565,"ארגוקום בע""מ",31/07/2018,INVOICE,1755,ILS,Paid,"חס - מע""מ מלא - תשומות ציוד"
1059570,"ג'מס מפעלי בירה בע""מ",02/07/2018,INVOICE,2717,ILS,Unknown,"מע""מ 0%"
1059573,"דאלאס מוצרי נייר בע""מ",18/07/2018,INVOICE,1188,ILS,Unknown,"חס - מע""מ מלא"
1059576,"ג'מס מפעלי בירה בע""מ",16/07/2018,INVOICE,1547,ILS,Paid,"מע""מ 0%"
1059580,גיא פורת,02/07/2018,RECEIPT,5314.31,ILS,Paid,"חס - מע""מ מלא"
1059582,גמלא ,31/07/2018,INVOICE,1562,ILS,,"חס - מע""מ מלא"
1059585,"גטר גרופ בע""מ",08/07/2018,INVOICE,12506.83,ILS,,"חס - מע""מ מלא"
1059587,"ביפר תקשורת בע""מ",26/07/2018,INVOICE,1535,ILS,,"חס - מע""מ מלא"
1059589,"גרובוט סמארטיק בע""מ",01/07/2018,INVOICE,1930.5,ILS,,"חס - מע""מ מלא"
1059591,"גב מערכות קול סנטר בע""מ",26/07/2018,INVOICE,861.71,ILS,,"חס - מע""מ מלא"
1059592,"בזק בינלאומי בע""מ",31/07/2018,INVOICE,281.34,ILS,Paid,"חס - מע""מ מלא"
1059594,"בזק החברה הישראלית לתקשורת בע""מ",25/07/2018,INVOICE,766.65,ILS,Paid,"חס - מע""מ מלא"
1059599,"ליסקאר רם בע""מ",11/07/2018,INVOICE,147.42,ILS,,"מע""מ 0%"
1059600, יורוטק טכנולוגיות ייצור ייבוא וייצוא בעמ,29/07/2018,INVOICE,139,ILS,,"חס - מע""מ מלא"
1059601,"זיג זג שרותי דיוור ולוגיסטיקה בע""מ",31/07/2018,INVOICE,3845.8,ILS,Paid,"חס - מע""מ מלא"
1059603,הוט טלקום שותפות מוגבלת,31/07/2018,INVOICE,1578.33,ILS,Paid,"חס - מע""מ מלא"
1059606,"ח.כ דלתא פתרונות פיננסיים בע""מ",30/07/2018,INVOICE,321.75,ILS,,"חס - מע""מ מלא"
1059607,י.מ שבירו שירותי ייעוץ,01/07/2018,INVOICE,1292,ILS,Paid,"חס - מע""מ מלא"
1059608,יורם אלמוג,04/07/2018,INVOICE,840,ILS,Paid,"חס - מע""מ מלא"
1059614,הוט טלקום שותפות מוגבלת,01/07/2018,INVOICE,333871.23,ILS,Paid,"חס - מע""מ מלא"
1059615,"ח.כ דלתא פתרונות פיננסיים בע""מ",08/07/2018,INVOICE,321.75,ILS,,"חס - מע""מ מלא"
1059616,"יוניסל פתרונות סלולאריים מתקדמים בע""מ",30/07/2018,INVOICE,35100,ILS,Unknown,"חס - מע""מ מלא"
1059617," וואן סמבה פתרונות מחישוב ותקשורת בע""מ",01/07/2018,INVOICE,1615,ILS,,"חס - מע""מ מלא"
1059622,הוט טלקום שותפות מוגבלת,31/07/2018,INVOICE,274.95,ILS,Paid,"חס - מע""מ מלא"
1059623,"ליסקאר רם בע""מ",22/07/2018,INVOICE,147.42,ILS,,"מע""מ 0%"
1059624,"רחיצת רמת אביב מס.1 בע""מ",18/07/2018,INVOICE,314.36,ILS,Paid,"חס - 1/4 מע""מ"
1059625,"גטר גרופ בע""מ",31/07/2018,INVOICE,3818.41,ILS,Unknown,"חס - מע""מ מלא"
1059629,"דלק מנטה קמעונאות דרכים בע""מ",23/07/2018,INVOICE,38.27,ILS,Paid,"חס - 1/4 מע""מ"
1059630,"הזעקה האחרונה שמירה ומיגון בע""מ",14/07/2018,INVOICE,61,ILS,,"חס - מע""מ מלא"
1059633,"י.פרל ושות' בע""מ",05/07/2018,INVOICE,9203,ILS,Paid,"חס - מע""מ מלא"
1059636,"ח.כ דלתא פתרונות פיננסיים בע""מ",08/07/2018,INVOICE,321.75,ILS,Paid,"חס - מע""מ מלא"
1059637,"טריפל סי מחשוב ענן בע""מ",19/07/2018,INVOICE,555,ILS,,"חס - מע""מ מלא"
1059638,"טמפו שווק (1981) בע""מ",03/07/2018,INVOICE,1263.55,ILS,Paid,"חס - מע""מ מלא"
1059639,"טמפו שווק (1981) בע""מ",22/07/2018,INVOICE,1263.55,ILS,Paid,"מע""מ 0%"
1059645,"הוט מובייל בע""מ",16/07/2018,INVOICE,566.2,ILS,,"חס - מע""מ מלא"
1059646,כוכבית פלוס *8077,01/07/2018,INVOICE,678.6,ILS,,"חס - מע""מ מלא"
1059647,"הוט מובייל בע""מ",13/06/2018,INVOICE,1743.3,ILS,,"חס - מע""מ מלא"
1059648,"הוט מובייל בע""מ",02/06/2018,INVOICE,3963.38,ILS,Unknown,"חס - מע""מ מלא"
1059669,"ליסקאר רם בע""מ",11/07/2018,INVOICE,10.99,ILS,,"מע""מ 0%"
1059670,"ליסקאר רם בע""מ",22/07/2018,INVOICE,9.85,ILS,,"מע""מ 0%"
1059675,"ליסקאר רם בע""מ",19/07/2018,INVOICE,1667.03,ILS,,"מע""מ 0%"
1059676,מאה הפקה והוצאה לאור ,10/07/2018,INVOICE,849,ILS,,"חס - מע""מ מלא"
1059679,"ליסקאר רם בע""מ",10/07/2018,INVOICE,1674.7,ILS,,"מע""מ 0%"
1059680,"לסה ויז'ן בע""מ",15/07/2018,INVOICE,398,ILS,,"חס - מע""מ מלא"
